file,bytes
01_registration/Amani_Audited_Financials_2025.pdf,2957
01_registration/Amani_Board_of_Directors.pdf,2476
01_registration/Amani_Certificate_of_Registration.pdf,2557
01_registration/Amani_Constitution.pdf,2693
01_registration/Amani_Org_Chart.png,22594
01_registration/Amani_Tax_Exemption_Letter.pdf,2313
02_capacity_trust_evidence/Amani_AntiFraud_AntiCorruption_Policy.pdf,2343
02_capacity_trust_evidence/Amani_Bank_Confirmation_Letter.pdf,2263
02_capacity_trust_evidence/Amani_Data_Protection_Policy.pdf,2295
02_capacity_trust_evidence/Amani_Financial_Management_Policy.pdf,2329
02_capacity_trust_evidence/Amani_HR_Policy.pdf,2299
02_capacity_trust_evidence/Amani_Prior_Donor_Reference_Letter.pdf,2283
02_capacity_trust_evidence/Amani_Safeguarding_PSEA_Policy.pdf,2426
03_grant_application/Amani_Detailed_Budget.pdf,3058
03_grant_application/Amani_Detailed_Budget.xlsx,5594
03_grant_application/Amani_Letter_of_Support_County.pdf,2216
03_grant_application/Amani_Logframe.xlsx,5310
03_grant_application/Amani_Partnership_MOU.pdf,2269
03_grant_application/Amani_Project_Proposal_MCH.docx,36049
03_grant_application/Amani_Project_Proposal_MCH.pdf,2938
03_grant_application/Amani_Workplan.pdf,2633
04_compliance_reporting/Amani_Expense_Receipts_Bundle.pdf,2621
04_compliance_reporting/Amani_Q1_Financial_Report.xlsx,5304
04_compliance_reporting/Amani_Q1_Narrative_Progress_Report.docx,35910
04_compliance_reporting/attendance_sheet_scanned.jpg,67259
04_compliance_reporting/field_evidence_clip.mp4,59777
04_compliance_reporting/field_photo_CHP_training.jpg,42185
04_compliance_reporting/field_photo_CHP_training.webp,12836
04_compliance_reporting/field_photo_beneficiaries.jpg,42566
04_compliance_reporting/field_photo_clinic_site.jpg,43883
04_compliance_reporting/field_voice_memo.m4a,54115
04_compliance_reporting/field_voice_memo.mp3,48501
04_compliance_reporting/receipt_pharmacy_supplies.jpg,47636
05_donor/GlobalHealthFund_Call_for_Proposals_MCH.pdf,2964
05_donor/GlobalHealthFund_Scoring_Rubric.pdf,2566
99_edge_cases/corrupt_truncated.pdf,1549
99_edge_cases/disguised_program.exe,93
99_edge_cases/empty_file.pdf,0
99_edge_cases/image_with_script.svg,197
99_edge_cases/not_really_a_pdf.pdf,75
99_edge_cases/oversized_20MB.pdf,20971529
99_edge_cases/password_protected.pdf,2785
99_edge_cases/pdf_with_active_javascript.pdf,333
99_edge_cases/proposal_wrong_format.txt,77
99_edge_cases/report.pdf.exe,56
99_edge_cases/very_long_filename_aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.pdf,1605
99_edge_cases/webpage_upload.html,105
99_edge_cases/تقرير_ميداني_عربي.docx,35485
